Address,TokenCount,Tokens
0x3aafE8Ce657D334fA7Aa81A895D4504a5e35fF52,18,233;242;778;1014;1081;1117;1138;1608;1718;1819;1820;1842;1845;2038;2067;2127;2139;2208
0x2938AFd9B656D26CCA344F10367Fe43844A3cD55,18,255;464;573;1715;1757;1758;1773;1813;2009;2104;2105;2106;2146;2147;2148;2164;2166;2173
0xDB94499A6fF41E4ed7850C13b4CA2dCAb3D40075,15,112;300;470;498;543;666;1086;1132;1609;1625;1671;1782;1810;1925;2028
0x4166687A150DbA40f5b3E489D3728e16A111b7E0,15,114;122;168;436;438;504;691;870;890;1868;1916;2002;2128;2197;2205
0x90361d5443Ae9b8162f58cd55483fAB13F6ADEa3,15,244;316;529;539;687;983;1700;1701;1709;1710;1721;1723;1822;1835;1980
0x7aa9E9b3DD99F2759941fab699F3372134cfecFA,15,869;880;893;894;903;920;924;928;945;949;953;1012;1017;1021;1548
